N°,Área,Fecha,Personal de dirección,Empresa,Nombre de Empresa o Contrata ,1. Los líderes realizan actividades para fortalecer el compromiso de los trabajadores con la seguridad.,"2. Las medidas correctivas establecidas como resultado de auditorías, fiscalizaciones e inspecciones se cumplen dentro del plazo programado.",3.Las normas de seguridad son respetadas de la misma forma por personal propio y contratistas.,4.Los líderes demuestran comportamientos seguros en su día a día.,5.Los líderes se involucran en las actividades de seguridad.,"6. Los líderes cumplen las normas, estándares y procedimientos de seguridad y salud ocupacional.",7. Los líderes gestionan oportunamente las necesidades o requerimientos de seguridad.,8.  Los líderes supervisan la integración de la seguridad al proceso productivo en las labores diarias.,9.Los líderes corrigen las condiciones inseguras en campo.,"10.Aplico mi derecho a decir que ""No"", cuando es necesario.",11. Detengo mi tarea cuando surge un riesgo que no puedo controlar.,12. Me coloco los equipos de protección personal completos al iniciar una tarea.,"13. Los líderes involucran a los trabajadores en la revisión del IPERC (Identificación de peligros, evaluación de riesgos y controles).",14.En esta empresa se reportan los actos y condiciones subestándar.,15. Todos los estándares y procedimientos son cumplidos sin distinción por el personal propio y contratista.,"16.Los líderes mantienen informados a sus trabajadores en relación a cambios, logros, actividades en general.",17. Puedo hablar con mi superior abiertamente sobre temas de seguridad.,18.El líder comunica avances de la gestión del área y escucha inquietudes de su equipo.,19.Los valores corporativos son entendidos por los trabajadores.,20.Los empleados disponen de buzón u otro mecanismo para plantear ideas y sugerencias para mejorar la seguridad.,21. El comité de seguridad y salud ocupacional mantiene informados a los trabajadores sobre sus actividades.,22. Existen mecanismos efectivos para que los trabajadores propongan mejoras de seguridad en las operaciones.,23.La empresa aplica reconocimientos por desempeño seguro.,"24.Cuando se evidencia el incumplimiento de una norma, se aplican sanciones de acuerdo con el reglamento interno de trabajo.",25.La empresa evalúa el desempeño en seguridad.,26.La capacitación anual obligatoria de seguridad y salud ocupacional que brindan en mi área es efectiva.,27.El comité de seguridad y salud en el trabajo tiene participación en propuestas de mejora.,"28.La empresa realiza mejoras a su infraestructura, herramientas, equipos de trabajo de acuerdo con requerimientos identificados.","29.¿Has identificado los peligros, riesgos y controles a los que está expuesto en casa, los compartes con tu familia?",COMENTARIOS
1,Geologia,07/04/2026,Colaboradores,TItular minero,,4,5,4,5,5,5,4,4,4,5,5,4,4,4,4,4,5,4,3,2,4,4,4,3,4,4,5,4,4,
2,Geologia,07/04/2026,Colaboradores,TItular minero,,3,2,4,4,4,4,3,3,4,5,5,5,3,5,3,3,4,5,4,3,3,4,5,4,4,4,3,3,4,Comentarios por redes sociales
3,Geologia,07/04/2026,Colaboradores,TItular minero,,3,3,4,4,4,4,4,4,4,3,4,5,2,4,4,3,4,4,4,4,3,3,3,4,3,4,3,3,4,Las zonas seguras en caso de sismos
4,Geologia,07/04/2026,Asistentes,TItular minero,,5,4,4,5,5,5,4,5,4,5,5,5,5,5,4,5,5,5,4,4,5,4,4,4,4,4,4,5,4,
5,Geologia,07/04/2026,Asistentes,TItular minero,,4,4,4,5,5,4,4,4,4,5,5,5,4,5,4,4,5,4,3,3,4,3,4,4,4,4,4,4,4,Uso de las escaleras
6,Geologia,07/04/2026,Supervisores,TItular minero,,3,4,5,5,4,4,4,5,4,5,4,5,5,5,5,5,5,5,4,3,4,3,4,4,5,5,5,5,4,
7,Geologia,07/04/2026,Supervisores,TItular minero,,3,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,4,4,4,4,4,
8,Geologia,07/04/2026,Superintendentes,TItular minero,,5,5,3,5,4,5,4,4,5,5,5,5,4,4,4,5,5,5,4,5,4,4,4,3,5,5,5,4,5,
9,Geologia,07/04/2026,Jefe de área,TItular minero,,5,5,4,5,5,5,4,4,5,5,5,5,4,5,4,5,5,5,4,5,5,5,2,4,4,5,5,5,5,Uso de extintores en el condomio y uso de los 3 puntos de apoyo. 
10,Geologia,07/04/2026,Supervisores,TItular minero,,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,4,"Pisos resbalosos, usar tres puntos de apoyo, caminar sin el celular."
11,Geologia,07/04/2026,Ingenieros,TItular minero,,2,4,4,4,4,4,4,4,4,4,5,5,5,5,4,5,4,3,4,1,4,4,4,4,4,5,4,4,5,Conversamos sobre la importancia de seguridad 
12,Geologia,07/04/2026,Ingenieros,TItular minero,,5,4,4,5,5,5,5,5,4,5,5,5,4,5,5,4,5,5,4,3,5,5,4,4,5,4,5,5,4,Uso correcto de epps 
13,Geologia,07/04/2026,Supervisores,TItular minero,,3,4,5,5,4,4,4,5,4,5,4,5,5,5,5,5,5,5,4,3,4,3,4,4,5,5,5,5,4,
14,Gerencia,08/04/2026,Gerentes,TItular minero,,4,4,4,4,5,4,4,5,4,5,5,5,4,5,5,4,4,4,4,5,4,4,5,5,5,5,4,4,4,Ubicaión del gas propano (lejos de la cocina)
15,Geologia,09/04/2026,Ingenieros,Empresa contratista,,5,4,4,4,4,4,4,4,4,5,5,4,4,4,4,5,5,4,4,5,5,5,5,4,5,5,5,4,5,"En casa se tiene un botiquien,extintor y respetar las señales de transito. "
16,Geologia,09/04/2026,Ingenieros,Empresa contratista,,4,5,3,4,4,3,4,4,5,4,5,5,4,5,4,4,5,4,3,3,3,4,5,4,5,4,4,4,3,Importancia de implementar un extintor por los accidentes transmitidos en TV. 
17,Geologia,09/04/2026,Jefe de área,Empresa contratista,,4,4,4,4,4,4,4,4,5,5,4,5,5,5,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,Aislando las canaletas de cables electricos
18,Geologia,09/04/2026,Supervisores,Empresa contratista,,4,3,4,4,3,4,4,5,4,3,2,4,5,4,4,4,5,4,4,3,5,4,4,3,4,4,4,3,4,practicando las 5s
19,Geologia,09/04/2026,Supervisores,Empresa contratista,,5,4,5,5,5,4,3,3,4,5,5,5,5,5,5,4,4,3,4,2,3,3,,4,5,4,3,2,5,
20,Geologia,09/04/2026,Supervisores,Empresa contratista,,3,4,4,4,4,4,4,4,4,4,4,5,5,5,4,5,3,4,4,5,4,4,3,4,4,5,4,2,4,hablar sobre la descarga de energia de algun interruptor
21,Geologia,09/04/2026,Supervisores,Empresa contratista,,4,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,4,4,4,4,5,5,5,4,3,5,Le enseño a mis hijos a valorarnos como personas
22,Geologia,09/04/2026,Colaboradores,Empresa contratista,,3,2,5,3,5,5,5,5,3,5,4,5,5,5,4,5,5,5,5,4,3,4,5,3,4,4,4,,4,Respetar la señalización
23,Geologia,09/04/2026,Colaboradores,Empresa contratista,,4,3,3,4,4,4,5,4,5,4,5,5,5,5,4,3,4,3,5,2,3,4,5,4,5,4,4,4,3,Conversa sobre los riesgos que se pueda pasar por inseguridad 
24,Geologia,09/04/2026,Colaboradores,Empresa contratista,,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,4,3,2,5,Uso de tres puntos de apoyo
25,Geologia,09/04/2026,Colaboradores,Empresa contratista,,3,3,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,4,4,3,5,5,5,5,4,4,5,Le explico a mis  hijos la manipulación de cosas electricas y subir o bajar escaleras
26,Planta Concentradora,10/04/2026,Colaboradores,TItular minero,,2,3,2,3,2,2,2,2,2,3,4,5,3,3,2,2,3,3,3,2,2,3,2,3,2,3,2,2,4,
27,Planta Concentradora,10/04/2026,Colaboradores,TItular minero,,5,3,5,5,5,5,5,3,5,4,5,5,5,5,5,3,5,5,3,3,5,3,3,5,5,5,5,2,5,
28,Planta Concentradora,10/04/2026,Colaboradores,TItular minero,,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,La seguridad es importante
29,Planta Concentradora,10/04/2026,Ingenieros,TItular minero,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Si hablar de los 3 puntos de apoyo
30,Planta Concentradora,10/04/2026,Colaboradores,TItular minero,,3,3,4,3,4,4,3,4,4,5,3,5,4,5,4,3,5,5,4,3,3,4,2,4,4,4,5,3,5,Sobre los 3 puntos de apoyo en las escaleras
31,Planta Concentradora,10/04/2026,Colaboradores,TItular minero,,2,3,3,1,2,2,3,3,2,4,4,4,3,3,4,4,4,4,3,2,2,2,2,4,3,3,4,2,4,Barandas en mi casa 
32,Planta Concentradora,10/04/2026,Supervisores,TItular minero,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Si, en el tema del gas, la apetura de la valvula al momento de utilizar la cocina es muy importante rotular"
33,Planta Concentradora,10/04/2026,Colaboradores,TItular minero,,2,3,2,3,2,3,2,3,2,5,2,3,2,4,2,4,4,3,4,3,4,3,3,3,4,3,4,3,4,Con señalizaciones para ccualquier emergencia
34,Planta Concentradora,10/04/2026,Colaboradores,TItular minero,,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,El uso de los tres puntos apoyo y el uso de extintor
35,Planta Concentradora,10/04/2026,Colaboradores,TItular minero,,3,4,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Estamos bien en casa 
36,Mina,10/04/2026,Colaboradores,TItular minero,,3,3,2,1,2,2,1,1,1,2,3,5,3,3,3,3,3,2,1,2,2,2,2,2,3,3,3,4,0,
37,Mina,10/04/2026,Ingenieros,TItular minero,,4,4,5,4,5,4,4,5,4,5,5,5,5,5,5,5,5,4,4,3,3,4,4,5,4,4,4,4,4,
38,Mina,10/04/2026,Ingenieros,TItular minero,,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,5,5,4,5,4,5,3,4,4,4,4,5,4,3,Me falta un botiquin 
39,Mina,10/04/2026,Jefe de área,TItular minero,,5,4,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,5,5,3,3,5,5,2,4,4,3,3,4,
40,Mina,10/04/2026,Jefe de área,TItular minero,,5,4,4,4,4,4,4,4,5,4,4,5,4,5,4,5,5,4,5,4,5,3,4,4,4,4,5,4,4,
41,Mina,10/04/2026,Asistentes,TItular minero,,5,4,4,4,4,4,4,4,5,4,4,5,4,5,4,5,5,4,5,4,5,3,4,4,4,4,5,4,4,Me falta un extintor
42,Mina,10/04/2026,Supervisores,Empresa contratista,Incimment,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
43,Mina,10/04/2026,Colaboradores,Empresa contratista,Incimment,5,4,2,5,5,5,4,5,4,5,5,5,4,5,5,5,5,5,4,5,4,5,4,5,4,4,4,4,5,
44,Mina,10/04/2026,Colaboradores,Empresa contratista,Incimment,5,4,5,5,4,4,4,4,5,5,5,5,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,5,
45,Mina,10/04/2026, Jefe de zona,Empresa contratista,Incimment,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,
46,Mina,10/04/2026,Colaboradores,Empresa contratista,Incimment,4,4,5,4,5,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,3,4,3,4,4,4,3,4,5,
47,Mina,10/04/2026,Colaboradores,Empresa contratista,Incimment,5,4,5,4,4,5,4,5,3,5,5,5,3,4,5,5,3,4,5,3,3,3,5,3,5,5,3,5,0,
48,Mina,10/04/2026,Colaboradores,Empresa contratista,Incimment,4,4,5,4,4,4,4,4,4,5,5,5,4,4,5,4,5,4,5,5,5,5,4,4,4,4,4,4,4,
49,Mina,10/04/2026,Colaboradores,Empresa contratista,Incimment,4,4,5,3,4,3,4,4,4,5,5,5,4,4,4,4,5,4,4,4,3,4,4,4,4,4,3,4,5,
50,Mina,10/04/2026,Colaboradores,Empresa contratista,Incimment,5,5,5,5,4,4,5,5,4,5,5,5,5,4,4,5,5,4,5,5,4,5,4,5,5,5,5,5,5,
51,Mina,11/04/2026,Colaboradores,Empresa contratista,Incimment,5,5,4,4,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,4,5,3,5,5,5,5,5,4,Exposición a equipos moviles
52,Mina,10/04/2026,Colaboradores,Empresa contratista,Incimment,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,
53,Mina,10/04/2026,Colaboradores,Empresa contratista,Incimment,4,5,5,4,3,4,4,4,4,5,5,5,4,5,4,5,4,4,4,4,4,4,4,4,4,5,4,5,5,
54,Mina,10/04/2026,Colaboradores,Empresa contratista,Incimment,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,Coloco tapones en los tomacorrientes
55,Mina,10/04/2026,Colaboradores,Empresa contratista,Incimment,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,4,4,5,3,4,4,4,4,4,Colocar protectores en las esquinas de los muebles
56,Mina,10/04/2026,Colaboradores,Empresa contratista,Incimment,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
57,Mina,10/04/2026,Colaboradores,Empresa contratista,Incimment,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
58,Mina,10/04/2026,Jefe de área,Empresa contratista,Incimment,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5,4,4,5,4,5,5,5,5,5,
59,Mina,10/04/2026,Colaboradores,Empresa contratista,Incimment,5,4,4,5,5,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,Comunicación como cruzar las pistas
60,Mina,10/04/2026,Colaboradores,Empresa contratista,Incimment,4,4,4,5,5,5,5,5,5,4,3,5,5,4,4,4,5,5,5,4,4,4,4,4,4,4,4,5,4,
61,Mina,10/04/2026,Colaboradores,Empresa contratista,Incimment,4,4,4,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,3,4,5,4,4,4,2,5,5,
62,Mina,11/04/2026,Colaboradores,Empresa contratista,Incimment,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,4,5,5,4,4,4,4,
63,Mina,10/04/2026,Jefe de área,Empresa contratista,Incimment,5,4,5,4,4,5,4,4,5,4,4,5,4,4,4,5,5,4,4,5,5,4,5,4,5,5,5,5,5,
64,Mina,10/04/2026,Colaboradores,Empresa contratista,Incimment,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,
65,Mina,10/04/2026,Colaboradores,Empresa contratista,Incimment,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,
66,Proyectos,12/04/2026,Superintendentes,TItular minero,Raura,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,5,4,3,3,5,5,5,5,5,3,3,5,
67,Proyectos,12/04/2026,Jefe de área,TItular minero,Raura,4,5,3,4,3,4,4,4,4,5,5,5,4,5,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,
68,Proyectos,12/04/2026,Supervisores,TItular minero,Raura,4,4,4,3,3,4,4,4,4,3,5,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,3,
69,Planeamiento ,11/04/2026,Ingenieros,TItular minero,Raura,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,3,4,5,4,5,5,4,En casa siempre hablamos de medidas de seguridad 
70,Planeamiento ,11/04/2026,Ingenieros,TItular minero,Raura,4,4,4,4,4,4,5,4,4,4,5,5,5,4,3,5,5,4,4,3,3,3,4,4,5,4,2,4,5,Aplicar lo aprendido por ejemplo Trisafe
71,Planeamiento ,11/04/2026,Jefe de área,TItular minero,Raura,4,4,4,4,4,4,3,3,3,4,4,5,4,4,4,4,4,3,4,2,3,3,2,4,4,4,4,4,4,
72,Planeamiento ,11/04/2026,Colaboradores,TItular minero,Raura,4,4,3,3,3,3,3,3,3,4,5,5,3,4,4,4,5,4,4,2,3,3,3,3,3,4,3,4,5,
73,Planeamiento ,11/04/2026,Colaboradores,TItular minero,Raura,4,4,4,4,5,4,4,4,5,5,4,5,4,4,5,4,5,4,4,4,5,4,4,4,5,4,4,4,4,"Deben compartir los accidentes, incidentes"
74,Planeamiento ,11/04/2026,Supervisores,TItular minero,Raura,2,3,4,3,3,3,4,3,2,5,5,5,3,5,5,2,5,5,5,5,5,5,5,4,4,4,4,4,4,
75,Planeamiento ,11/04/2026,Colaboradores,TItular minero,Raura,2,4,1,3,2,2,1,1,1,4,5,5,2,3,4,1,3,3,2,1,1,1,1,2,2,2,1,1,5,El no tener exceso de confianza
76,Planeamiento ,11/04/2026,Colaboradores,TItular minero,Raura,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,3,4,4,3,1,4,4,4,4,1,
77,Planeamiento ,11/04/2026,Colaboradores,TItular minero,Raura,4,4,5,5,4,4,3,3,4,5,5,5,4,5,4,2,4,3,3,4,4,3,1,4,2,2,3,2,5,Saber como cuidar el bienestar de tu familia 
78,Proyectos,12/04/2026,Supervisores,TItular minero,Raura,4,4,3,4,4,4,4,4,4,3,5,5,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,Intento cumplir estandares en casa 
79,Proyectos,12/04/2026,Ingenieros,TItular minero,Raura,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,Tengo zonas señalizadas en casa 
80,Mina,12/04/2026,Ingenieros,Empresa contratista,Unitec,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,3,5,5,4,5,5,5,5,5,3,
81,Mina,11/04/2026,Ingenieros,Empresa contratista,Unitec,4,4,5,4,4,4,5,5,4,4,5,5,4,4,5,5,4,4,4,4,5,4,5,4,4,4,5,4,4,Las vias de salida muchas veces no stan libres
82,Mina,11/04/2026,Colaboradores,Empresa contratista,Unitec,4,4,5,5,3,4,5,4,4,2,5,5,4,5,4,4,4,4,3,3,2,3,3,3,3,4,1,3,3,
83,Mina,11/04/2026,Colaboradores,Empresa contratista,Unitec,4,2,3,4,4,4,4,3,5,4,5,5,4,3,3,3,3,3,3,3,2,4,3,3,2,2,2,3,5,
84,Mina,11/04/2026,Colaboradores,Empresa contratista,Unitec,3,5,4,4,5,4,3,2,5,4,5,5,4,4,4,3,5,5,4,2,3,2,4,4,5,4,3,4,4,Siempre ver primero nuestra integridad 
85,Mina,11/04/2026,Ingenieros,Empresa contratista,Unitec,4,5,4,5,5,5,4,5,5,4,5,5,5,5,5,4,4,4,4,5,3,3,3,5,5,3,3,4,5,
86,Mina,11/04/2026,Colaboradores,Empresa contratista,Unitec,4,3,4,3,4,4,4,4,3,4,3,4,5,5,4,4,5,4,4,5,4,4,4,4,3,3,3,4,4,
87,Mina,11/04/2026,Colaboradores,Empresa contratista,Unitec,4,4,4,4,2,3,3,3,4,5,5,5,3,4,4,5,5,4,4,4,2,4,2,1,4,4,2,2,5,
88,Mina,11/04/2026,Asistentes,Empresa contratista,Unitec,4,5,5,5,5,5,5,5,5,5,4,5,4,4,4,5,4,5,4,4,5,5,5,5,5,4,5,5,5,La seguridad es muy importante y debemos practicarlo ya sea en el trabajo como en la vida cotidiana
89,Mina,11/04/2026,Ingenieros,Empresa contratista,Unitec,4,4,4,5,4,4,4,4,4,5,4,5,5,4,5,4,5,4,4,2,4,4,4,5,4,4,5,4,4,Siempre comunicamos un peligro que puede existir
90,Mina,10/04/2026, Jefe de zona,Empresa contratista,Unitec,4,4,4,5,4,5,4,5,4,5,5,5,5,3,5,5,4,4,3,4,4,5,3,4,3,4,4,4,5,Siempre se realizan los trabajaos con seguridad
91,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,
92,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,3,3,1,3,4,2,4,2,5,5,5,4,5,3,2,2,3,4,3,2,2,2,2,3,3,3,2,2,
93,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,2,2,1,3,4,3,2,3,2,3,2,3,2,3,2,3,3,2,3,3,2,2,2,4,3,3,3,3,Donde quiera que vamos es con seguridad
94,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,3,2,3,2,3,3,3,3,5,5,5,3,4,4,2,2,2,3,1,2,2,1,2,2,2,3,2,4,
95,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,3,2,3,3,3,2,3,3,3,2,4,4,3,4,3,3,4,3,4,3,2,2,3,3,3,2,3,2,4,
96,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,3,4,3,4,4,4,4,5,5,4,4,5,4,4,3,4,3,4,4,2,3,2,3,4,5,3,3,5,
97,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,4,3,2,2,2,2,2,3,3,3,3,3,3,Tenemos que mejorar cada dia 
98,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,2,2,1,2,3,3,2,2,3,4,4,4,3,4,2,3,3,2,3,3,2,1,4,3,4,4,3,4,"Donde sea que vamos, siempre con seguirdad "
99,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,4,3,4,4,4,5,5,4,5,5,5,5,5,5,5,4,5,4,5,3,5,4,3,5,3,5,4,3,3,
100,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,5,4,3,3,3,3,3,3,3,4,5,4,4,3,3,4,4,3,3,3,2,2,4,3,4,3,2,4,Si al momento de bajar las escaleras y manipular los artefactos
101,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,1,1,1,1,3,3,3,3,3,3,3,5,3,3,1,1,3,2,5,1,1,1,2,5,3,1,1,1,1,
102,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,1,1,3,2,2,2,1,1,1,4,4,5,4,2,3,1,2,1,2,1,1,1,3,1,2,4,4,4,4,
103,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,3,1,2,3,3,3,3,3,3,4,3,4,4,4,2,3,3,4,4,4,4,4,4,4,4,4,4,4,5,Los de compañia obligan la seguridad cuando sus trabajadores no lo hacen 
104,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,2,3,2,3,3,3,3,4,4,5,5,2,4,3,4,2,4,5,3,3,4,4,5,5,4,4,3,5,
105,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,3,3,2,2,1,2,2,2,1,5,5,5,3,5,5,2,3,2,3,3,3,3,5,3,3,2,3,3,5,
106,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,1,2,3,2,2,2,3,5,3,5,5,5,5,5,5,3,5,4,4,4,5,5,3,4,5,5,5,5,5,
107,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,1,2,2,1,5,5,4,4,1,5,5,5,2,5,3,2,1,3,5,1,1,5,5,5,5,3,3,5,5,
108,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,1,2,3,3,4,2,2,1,3,4,
109,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,1,2,2,3,3,3,3,2,5,3,5,5,2,5,4,2,4,2,4,2,4,4,4,4,3,3,4,3,1,
110,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,3,2,1,2,2,3,3,3,2,3,5,2,4,3,3,3,3,4,1,1,3,3,3,2,3,3,2,5,
111,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,3,4,4,2,2,2,2,3,2,5,4,3,3,5,4,3,3,2,4,2,2,2,4,5,2,2,4,2,4,
112,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,3,3,2,2,3,3,3,3,2,2,4,3,4,3,4,3,3,4,3,4,3,1,3,2,4,2,2,4,
113,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,4,5,5,5,3,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,
114,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,4,4,5,4,5,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,5,
115,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,2,5,3,4,3,4,4,4,5,5,5,4,5,5,4,4,4,5,3,4,4,5,4,5,5,4,5,5,
116,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,3,2,3,2,3,3,2,2,2,3,5,5,5,5,5,2,3,5,3,5,5,4,3,5,5,5,5,5,
117,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,5,4,4,4,5,5,5,4,4,5,5,4,5,4,4,4,5,4,4,4,3,2,2,2,3,3,3,3,5,
118,Mina,12/04/2026,Supervisores,Empresa contratista,Aesa,4,3,4,4,4,3,3,4,3,4,4,5,3,4,3,4,5,4,3,3,3,3,4,4,4,3,3,3,3,
119,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,4,2,3,3,3,3,3,2,4,5,5,5,3,3,5,3,4,3,3,3,3,4,3,3,4,3,3,5,
120,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,1,4,4,4,4,5,3,2,4,5,4,5,5,5,5,5,5,4,5,1,3,2,4,5,5,1,1,3,5,
121,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,4,3,4,4,4,3,3,4,5,5,5,3,5,5,4,5,4,5,2,3,1,4,5,5,2,2,3,3,"mejorar ventilacion, mejorar pasar el monoxido de los equipos"
122,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,3,2,1,1,2,3,2,2,3,5,5,3,3,3,2,1,2,3,3,2,2,1,2,1,2,2,1,1,4,
123,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,4,3,5,4,4,4,3,3,5,4,5,1,4,4,5,4,3,4,4,4,3,3,5,4,2,2,4,3,Se requiere supervisión constante en el área de linea amarilla
124,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,3,4,2,2,3,1,1,2,4,4,4,4,4,4,3,3,2,3,4,3,1,4,2,3,3,3,3,3,Se requiere una reestruccturación en linea amarilla de personal operativo mas comunicación
125,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,3,5,2,2,2,2,3,2,3,5,4,5,3,2,2,2,2,2,4,2,2,2,2,4,3,3,2,2,3,
126,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,4,4,3,4,3,3,3,4,3,4,3,4,4,4,4,3,2,3,4,3,4,3,3,4,4,3,3,4,5,
127,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,5,1,1,1,1,1,1,1,1,5,1,1,1,5,5,5,1,1,1,1,5,5,1,1,5,1,1,1,5,
128,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,3,4,3,4,3,4,4,3,3,4,4,4,4,4,3,4,4,4,3,3,3,3,2,2,2,2,3,3,3,Las normas se deben cumplir tanto en compañia como en contrata
129,Mina,12/04/2026,Supervisores,Empresa contratista,Aesa,5,3,4,4,4,4,4,4,4,5,5,5,5,5,4,5,5,5,4,2,3,4,2,5,4,4,3,3,4,
130,Mina,12/04/2026,Supervisores,Empresa contratista,Aesa,3,2,2,4,4,4,4,4,5,5,5,5,4,5,4,2,4,4,4,1,3,4,2,4,4,4,2,2,5,
